2019-12-05 09:04:56  INFO LoggerFactory:? - using logger: org.apache.dubbo.common.logger.log4j.Log4jLoggerAdapter
2019-12-05 09:04:56  INFO ServiceAnnotationBeanPostProcessor:194 -  [DUBBO] BeanNameGenerator bean can't be found in BeanFactory with name [org.springframework.context.annotation.internalConfigurationBeanNameGenerator], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:04:56  INFO ServiceAnnotationBeanPostProcessor:196 -  [DUBBO] BeanNameGenerator will be a instance of org.springframework.context.annotation.AnnotationBeanNameGenerator , it maybe a potential problem on bean name generation., dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:04:56  INFO ServiceAnnotationBeanPostProcessor:269 -  [DUBBO] The BeanDefinition[Root bean: class [org.apache.dubbo.config.spring.ServiceBean]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] of ServiceBean has been registered with name : ServiceBean:com.study.userserviceapi.service.IUserService, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:04:56  INFO ServiceAnnotationBeanPostProcessor:151 -  [DUBBO] 1 annotated Dubbo's @Service Components { [Bean definition with name 'userServiceImpl': Generic bean: class [com.study.userapp.service.dubbo.UserServiceImpl]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\eclipse\workspaces\mystudy\java\zookeeper-dubbo-xdclass\zd-user\user-app\target\classes\com\study\userapp\service\dubbo\UserServiceImpl.class]] } were scanned under package[com.study.userapp.service.dubbo], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:04:59  INFO AbstractConfig:112 -  [DUBBO] The service ready on spring started. service: com.study.userserviceapi.service.IUserService, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:04:59  INFO ZookeeperTransporter:69 -  [DUBBO] No valid zookeeper client found from cache, therefore create a new client for url. zookeeper://192.168.104.104:2181/ConfigCenterConfig?address=192.168.104.104:2181&check=true&configFile=dubbo.properties&group=dubbo&highestPriority=false&namespace=dubbo&prefix=dubbo.config-center&timeout=3000&valid=true, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:00  INFO CuratorZookeeperClient:296 -  [DUBBO] listen the zookeeper changed. The changed data:null, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:00  WARN ConfigurationUtils:76 -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:00  WARN ConfigurationUtils:76 -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:00  INFO AbstractConfig:643 -  [DUBBO] Export dubbo service com.study.userserviceapi.service.IUserService to local registry url : injvm://127.0.0.1/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=user-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&bind.ip=192.168.2.1&bind.port=20881&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&methods=findUserById&pid=189188&qos-port=22225&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1575507900293, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:00  INFO AbstractConfig:581 -  [DUBBO] Export dubbo service com.study.userserviceapi.service.IUserService to url dubbo://192.168.2.1:20881/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=user-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&bind.ip=192.168.2.1&bind.port=20881&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&methods=findUserById&pid=189188&qos-port=22225&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1575507900293, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:00  INFO AbstractConfig:237 -  [DUBBO] There's no valid monitor config found, if you want to open monitor statistics for Dubbo, please make sure your monitor is configured properly., dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:00  INFO AbstractConfig:595 -  [DUBBO] Register dubbo service com.study.userserviceapi.service.IUserService url dubbo://192.168.2.1:20881/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=user-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&bind.ip=192.168.2.1&bind.port=20881&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&methods=findUserById&monitor=dubbo%3A%2F%2F192.168.104.104%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Duser-app%26dubbo%3D2.0.2%26pid%3D189188%26protocol%3Dregistry%26qos-port%3D22225%26refer%3Dapplication%253Duser-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D189188%2526qos-port%253D22225%2526register.ip%253D192.168.2.1%2526release%253D2.7.2%2526timestamp%253D1575507900425%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1575507900291&pid=189188&qos-port=22225&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1575507900293 to registry registry://192.168.104.104:2181/org.apache.dubbo.registry.RegistryService?application=user-app&dubbo=2.0.2&pid=189188&qos-port=22225&registry=zookeeper&release=2.7.2&timestamp=1575507900291, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:04  INFO Server:101 -  [DUBBO] qos-server bind localhost:22225, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:04  INFO AbstractServer:73 -  [DUBBO] Start NettyServer bind /0.0.0.0:20881, export /192.168.2.1:20881, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:04  INFO ZookeeperTransporter:58 -  [DUBBO] find valid zookeeper client from the cache for address: zookeeper://192.168.104.104:2181/org.apache.dubbo.registry.RegistryService?application=user-app&dubbo=2.0.2&interface=org.apache.dubbo.registry.RegistryService&pid=189188&qos-port=22225&release=2.7.2&timestamp=1575507900291, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:04  INFO ZookeeperRegistry:280 -  [DUBBO] Register: dubbo://192.168.2.1:20881/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=user-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&methods=findUserById&pid=189188&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1575507900293, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:04  INFO ZookeeperRegistry:305 -  [DUBBO] Subscribe: provider://192.168.2.1:20881/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=user-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&bind.ip=192.168.2.1&bind.port=20881&category=configurators&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&methods=findUserById&monitor=dubbo%3A%2F%2F192.168.104.104%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Duser-app%26dubbo%3D2.0.2%26pid%3D189188%26protocol%3Dregistry%26qos-port%3D22225%26refer%3Dapplication%253Duser-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D189188%2526qos-port%253D22225%2526register.ip%253D192.168.2.1%2526release%253D2.7.2%2526timestamp%253D1575507900425%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1575507900291&pid=189188&qos-port=22225&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1575507900293, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:04  INFO ZookeeperRegistry:399 -  [DUBBO] Notify urls for subscribe url provider://192.168.2.1:20881/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=user-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&bind.ip=192.168.2.1&bind.port=20881&category=configurators&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&methods=findUserById&monitor=dubbo%3A%2F%2F192.168.104.104%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Duser-app%26dubbo%3D2.0.2%26pid%3D189188%26protocol%3Dregistry%26qos-port%3D22225%26refer%3Dapplication%253Duser-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D189188%2526qos-port%253D22225%2526register.ip%253D192.168.2.1%2526release%253D2.7.2%2526timestamp%253D1575507900425%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1575507900291&pid=189188&qos-port=22225&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1575507900293, urls: [empty://192.168.2.1:20881/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=user-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&bind.ip=192.168.2.1&bind.port=20881&category=configurators&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&methods=findUserById&monitor=dubbo%3A%2F%2F192.168.104.104%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Duser-app%26dubbo%3D2.0.2%26pid%3D189188%26protocol%3Dregistry%26qos-port%3D22225%26refer%3Dapplication%253Duser-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D189188%2526qos-port%253D22225%2526register.ip%253D192.168.2.1%2526release%253D2.7.2%2526timestamp%253D1575507900425%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1575507900291&pid=189188&qos-port=22225&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1575507900293], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:04  INFO ZookeeperTransporter:58 -  [DUBBO] find valid zookeeper client from the cache for address: zookeeper://192.168.104.104:2181/org.apache.dubbo.metadata.store.MetadataReport, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:05:04  INFO ZookeeperMetadataReport:239 -  [DUBBO] store provider metadata. Identifier : org.apache.dubbo.metadata.identifier.MetadataIdentifier@70b8bc50; definition: FullServiceDefinition{parameters={side=provider, release=2.7.2, methods=findUserById, deprecated=false, dubbo=2.0.2, monitor=dubbo%3A%2F%2F192.168.104.104%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Duser-app%26dubbo%3D2.0.2%26pid%3D189188%26protocol%3Dregistry%26qos-port%3D22225%26refer%3Dapplication%253Duser-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D189188%2526qos-port%253D22225%2526register.ip%253D192.168.2.1%2526release%253D2.7.2%2526timestamp%253D1575507900425%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1575507900291, interface=com.study.userserviceapi.service.IUserService, timeout=3000, generic=false, accesslog=dubbo-access.log, retries=0, application=user-app, dynamic=true, qos-port=22225, register=true, bean.name=ServiceBean:com.study.userserviceapi.service.IUserService, anyhost=true}} ServiceDefinition [canonicalName=com.study.userserviceapi.service.IUserService, codeSource=file:/E:/eclipse/workspaces/mystudy/java/zookeeper-dubbo-xdclass/zd-user/user-service-api/target/classes/, methods=[MethodDefinition [name=findUserById, parameterTypes=[int], returnType=com.study.userserviceapi.vo.UserVO]]], dubbo version: 2.7.2, current host: 192.168.2.1
